gene	accession	source
COG2609.faa.final_tree.fa	COG2609	eggnog5.embl.de
COG0508.faa.final_tree.fa	COG0508	eggnog5.embl.de
COG1278.faa.final_tree.fa	COG1278	eggnog5.embl.de
COG0513.faa.final_tree.fa	COG0513	eggnog5.embl.de
COG3239.faa.final_tree.fa	COG3239	eggnog5.embl.de
COG0593.faa.final_tree.fa	COG0593	eggnog5.embl.de
COG0484.faa.final_tree.fa	COG0484	eggnog5.embl.de
COG0443.faa.final_tree.fa	COG0443	eggnog5.embl.de
COG0188.faa.final_tree.fa	COG0188	eggnog5.embl.de
COG0776.faa.final_tree.fa	COG0776	eggnog5.embl.de
COG0361.faa.final_tree.fa	COG0361	eggnog5.embl.de
COG0532.faa.final_tree.fa	COG0532	eggnog5.embl.de
COG0290.faa.final_tree.fa	COG0290	eggnog5.embl.de
COG0195.faa.final_tree.fa	COG0195	eggnog5.embl.de
COG0380.faa.final_tree.fa	COG0380	eggnog5.embl.de
COG1185.faa.final_tree.fa	COG1185	eggnog5.embl.de
COG0858.faa.final_tree.fa	COG0858	eggnog5.embl.de
COG0468.faa.final_tree.fa	COG0468	eggnog5.embl.de
COG0557.faa.final_tree.fa	COG0557	eggnog5.embl.de
COG0544.faa.final_tree.fa	COG0544	eggnog5.embl.de
COG1115.faa.final_tree.fa	COG1115	eggnog5.embl.de
