contigs_db	GCF_018845095.1_ASM1884509v1_genomic
Total Length	3947544
Num Contigs	7
Num Contigs > 100 kb	4
Num Contigs > 50 kb	4
Num Contigs > 20 kb	5
Num Contigs > 10 kb	5
Num Contigs > 5 kb	5
Num Contigs > 2.5 kb	5
Longest Contig	3571181
Shortest Contig	2344
Num Genes (prodigal)	3771
L50	1
L75	1
L90	1
N50	3571181
N75	3571181
N90	3571181
hmms	0
