RefSeq_acc,aceE,aceF,csp,deaD,desA,dnaA,dnaJ,dnaK,gyrA,hupB,infA,infB,infC,nusA,otsA,pnp,rbfA,recA,rnr,tig,yfiA,Accession #,Organism,CTG,Regional Loaction,geographic feature,Environment Detail,Tempurature,Lat/Long,Collection date,NCBI taxonomy browser,Primary Source,Other source
GCF_000317125.1,0,1,0,2,5,1,0,4,2,0,1,1,1,1,0,3,1,1,2,1,1,ASM31712v1,Chroococcidiopsis thermalis PCC 7203,,,,"Soil sample, near Greifswald, East Germany",,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=251229&lvl=3&lin=f&keep=1&srchmode=1&unlock,https://www.pnas.org/content/110/3/1053.long,
GCF_000147335.1,0,1,0,2,6,1,0,5,2,0,1,1,1,1,0,2,1,1,3,1,1,ASM14733v1,Gloeothece verrucosa PCC 7822,,"Rice fields of Central Rice Research Institute, Cuttack, Orissa, India",soil,"Soil of rice fields, tropical biome",,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=497965&lvl=3&lin=f&keep=1&srchmode=1&unlock,https://onlinelibrary.wiley.com/doi/full/10.1111/jpy.12853,
GCF_000484535.1,0,1,0,1,3,1,0,3,2,0,1,1,1,1,0,2,1,1,2,1,0,ASM48453v1,Gloeobacter kilaueensis JS1,,"Kīlauea Caldera, Hawai'i",Lava Cave,tropical,30-40 C,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1183438&lvl=3&lin=f&keep=1&srchmode=1&unlock,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0076376,
GCF_000317615.1,0,1,0,2,3,1,0,4,2,0,1,1,1,1,1,1,1,1,2,1,1,ASM31761v1,Dactylococcopsis salina PCC 8305,,,,"Solar Lake, Gulf of Elat, Israel",,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=13035&lvl=3&lin=f&keep=1&srchmode=1&unlock,https://www.pnas.org/content/110/3/1053.long,
GCF_000316515.1,0,1,0,3,5,1,0,3,2,0,0,1,1,1,0,2,1,1,2,1,0,ASM31651v1,Cyanobium gracile PCC 6307,,,,"Lake water, Wisconsin, U.S.A.",,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=292564&lvl=3&lin=f&keep=1&srchmode=1&unlock,https://www.pnas.org/content/110/3/1053.long,
GCA_001885215.1,0,1,0,3,5,1,0,2,2,0,0,1,1,1,1,2,1,0,2,1,0,ASM188521v1,Synechococcus sp. SynAce01,,Antarctica,"Ace Lake, Vestfold Hills",,,"negative 68.27, 78.12",,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1916956&lvl=3&lin=f&keep=1&srchmode=1&unlock,https://gold.jgi.doe.gov/organisms?setColumns=yes&Organism.NCBI+Taxonomy+ID=%3DGo0364460,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2718218441
