name	contigs_db_path
dopey	dopey.db
dummy	dummy.db
GCA_001704955.2_ASM170495v2_genomic	GCA_001704955.2_ASM170495v2_genomic.db
GCF_000007925.1_ASM792v1_genomic	GCF_000007925.1_ASM792v1_genomic.db
GCF_000009705.1_ASM970v1_genomic	GCF_000009705.1_ASM970v1_genomic.db
GCF_000009725.1_ASM972v1_genomic	GCF_000009725.1_ASM972v1_genomic.db
GCF_000010065.1_ASM1006v1_genomic	GCF_000010065.1_ASM1006v1_genomic.db
GCF_000010625.1_ASM1062v1_genomic	GCF_000010625.1_ASM1062v1_genomic.db
GCF_000011345.1_ASM1134v1_genomic	GCF_000011345.1_ASM1134v1_genomic.db
GCF_000011385.1_ASM1138v1_genomic	GCF_000011385.1_ASM1138v1_genomic.db
GCF_000011465.1_ASM1146v1_genomic	GCF_000011465.1_ASM1146v1_genomic.db
GCF_000011485.1_ASM1148v1_genomic	GCF_000011485.1_ASM1148v1_genomic.db
GCF_000012465.1_ASM1246v1_genomic	GCF_000012465.1_ASM1246v1_genomic.db
GCF_000012505.1_ASM1250v1_genomic	GCF_000012505.1_ASM1250v1_genomic.db
GCF_000012525.1_ASM1252v1_genomic	GCF_000012525.1_ASM1252v1_genomic.db
GCF_000012625.1_ASM1262v1_genomic	GCF_000012625.1_ASM1262v1_genomic.db
GCF_000012645.1_ASM1264v1_genomic	GCF_000012645.1_ASM1264v1_genomic.db
GCF_000013205.1_ASM1320v1_genomic	GCF_000013205.1_ASM1320v1_genomic.db
GCF_000014265.1_ASM1426v1_genomic	GCF_000014265.1_ASM1426v1_genomic.db
GCF_000014585.1_ASM1458v1_genomic	GCF_000014585.1_ASM1458v1_genomic.db
GCF_000015645.1_ASM1564v1_genomic	GCF_000015645.1_ASM1564v1_genomic.db
GCF_000015665.1_ASM1566v1_genomic	GCF_000015665.1_ASM1566v1_genomic.db
GCF_000015685.1_ASM1568v1_genomic	GCF_000015685.1_ASM1568v1_genomic.db
GCF_000015965.1_ASM1596v1_genomic	GCF_000015965.1_ASM1596v1_genomic.db
GCF_000017845.1_ASM1784v1_genomic	GCF_000017845.1_ASM1784v1_genomic.db
GCF_000018065.1_ASM1806v1_genomic	GCF_000018065.1_ASM1806v1_genomic.db
GCF_000018105.1_ASM1810v1_genomic	GCF_000018105.1_ASM1810v1_genomic.db
GCF_000019485.1_ASM1948v1_genomic	GCF_000019485.1_ASM1948v1_genomic.db
GCF_000020025.1_ASM2002v1_genomic	GCF_000020025.1_ASM2002v1_genomic.db
GCF_000021805.1_ASM2180v1_genomic	GCF_000021805.1_ASM2180v1_genomic.db
GCF_000021825.1_ASM2182v1_genomic	GCF_000021825.1_ASM2182v1_genomic.db
GCF_000022045.1_ASM2204v1_genomic	GCF_000022045.1_ASM2204v1_genomic.db
GCF_000024045.1_ASM2404v1_genomic	GCF_000024045.1_ASM2404v1_genomic.db
GCF_000025125.1_ASM2512v1_genomic	GCF_000025125.1_ASM2512v1_genomic.db
GCF_000147335.1_ASM14733v1_genomic	GCF_000147335.1_ASM14733v1_genomic.db
GCF_000161795.2_ASM16179v2_genomic	GCF_000161795.2_ASM16179v2_genomic.db
GCF_000195975.1_ASM19597v1_genomic	GCF_000195975.1_ASM19597v1_genomic.db
GCF_000196515.1_ASM19651v1_genomic	GCF_000196515.1_ASM19651v1_genomic.db
GCF_000204075.1_ASM20407v1_genomic	GCF_000204075.1_ASM20407v1_genomic.db
GCF_000284135.1_ASM28413v1_genomic	GCF_000284135.1_ASM28413v1_genomic.db
GCF_000284215.1_ASM28421v1_genomic	GCF_000284215.1_ASM28421v1_genomic.db
GCF_000284455.1_ASM28445v1_genomic	GCF_000284455.1_ASM28445v1_genomic.db
GCF_000312705.1_ASM31270v1_genomic	GCF_000312705.1_ASM31270v1_genomic.db
GCF_000316515.1_ASM31651v1_genomic	GCF_000316515.1_ASM31651v1_genomic.db
GCF_000316575.1_ASM31657v1_genomic	GCF_000316575.1_ASM31657v1_genomic.db
GCF_000316605.1_ASM31660v1_genomic	GCF_000316605.1_ASM31660v1_genomic.db
GCF_000316625.1_ASM31662v1_genomic	GCF_000316625.1_ASM31662v1_genomic.db
GCF_000316645.1_ASM31664v1_genomic	GCF_000316645.1_ASM31664v1_genomic.db
GCF_000316665.1_ASM31666v1_genomic	GCF_000316665.1_ASM31666v1_genomic.db
GCF_000316685.1_ASM31668v1_genomic	GCF_000316685.1_ASM31668v1_genomic.db
GCF_000317025.1_ASM31702v1_genomic	GCF_000317025.1_ASM31702v1_genomic.db
GCF_000317045.1_ASM31704v1_genomic	GCF_000317045.1_ASM31704v1_genomic.db
GCF_000317065.1_ASM31706v1_genomic	GCF_000317065.1_ASM31706v1_genomic.db
GCF_000317085.1_ASM31708v1_genomic	GCF_000317085.1_ASM31708v1_genomic.db
GCF_000317105.1_ASM31710v1_genomic	GCF_000317105.1_ASM31710v1_genomic.db
GCF_000317125.1_ASM31712v1_genomic	GCF_000317125.1_ASM31712v1_genomic.db
GCF_000317435.1_ASM31743v1_genomic	GCF_000317435.1_ASM31743v1_genomic.db
GCF_000317475.1_ASM31747v1_genomic	GCF_000317475.1_ASM31747v1_genomic.db
GCF_000317495.1_ASM31749v1_genomic	GCF_000317495.1_ASM31749v1_genomic.db
GCF_000317515.1_ASM31751v1_genomic	GCF_000317515.1_ASM31751v1_genomic.db
GCF_000317555.1_ASM31755v1_genomic	GCF_000317555.1_ASM31755v1_genomic.db
GCF_000317575.1_ASM31757v1_genomic	GCF_000317575.1_ASM31757v1_genomic.db
GCF_000317615.1_ASM31761v1_genomic	GCF_000317615.1_ASM31761v1_genomic.db
GCF_000317635.1_ASM31763v1_genomic	GCF_000317635.1_ASM31763v1_genomic.db
GCF_000317675.1_ASM31767v1_genomic	GCF_000317675.1_ASM31767v1_genomic.db
GCF_000317695.1_ASM31769v1_genomic	GCF_000317695.1_ASM31769v1_genomic.db
GCF_000340785.1_ASM34078v1_genomic	GCF_000340785.1_ASM34078v1_genomic.db
GCF_000478825.2_ASM47882v2_genomic	GCF_000478825.2_ASM47882v2_genomic.db
GCF_000484535.1_ASM48453v1_genomic	GCF_000484535.1_ASM48453v1_genomic.db
GCF_000734895.2_ASM73489v2_genomic	GCF_000734895.2_ASM73489v2_genomic.db
GCF_000737535.1_ASM73753v1_genomic	GCF_000737535.1_ASM73753v1_genomic.db
GCF_000737575.1_ASM73757v1_genomic	GCF_000737575.1_ASM73757v1_genomic.db
GCF_000737595.1_ASM73759v1_genomic	GCF_000737595.1_ASM73759v1_genomic.db
GCF_000757845.1_ASM75784v1_genomic	GCF_000757845.1_ASM75784v1_genomic.db
GCF_000757865.1_ASM75786v1_genomic	GCF_000757865.1_ASM75786v1_genomic.db
GCF_000817325.1_ASM81732v1_genomic	GCF_000817325.1_ASM81732v1_genomic.db
GCF_000829235.1_ASM82923v1_genomic	GCF_000829235.1_ASM82923v1_genomic.db
GCF_000981785.2_ASM98178v2_genomic	GCF_000981785.2_ASM98178v2_genomic.db
GCF_001182765.1_WH8103	GCF_001182765.1_WH8103.1_genomic.db
GCF_001277295.1_ASM127729v1_genomic	GCF_001277295.1_ASM127729v1_genomic.db
GCF_001521855.1_ASM152185v1_genomic	GCF_001521855.1_ASM152185v1_genomic.db
GCF_001548095.1_Gm3709_assembly_1	GCF_001548095.1_Gm3709_assembly_1.0_genomic.db
